Sporadic-1	48178	1.20	0.33	8.20	0.01	-19	-9	85	210	-178	-44	100007.03	3.89	0	0	0	0
Sporadic-1	49206	0.78	0.32	8.20	0.01	-22	-15	85	211	-179	-45	100010.16	3.92	0	0	0	0
Sporadic-1	50236	0.72	0.37	8.20	0.05	-19	-20	86	210	-178	-42	100010.83	3.94	0	0	0	0
Sporadic-1	51264	0.97	0.32	8.20	0.00	-18	-23	84	215	-181	-49	100007.85	3.96	0	0	0	0
Sporadic-1	52291	0.83	0.37	8.20	0.01	-20	-4	84	221	-179	-47	100009.57	3.98	0	0	0	0
Sporadic-1	53319	0.96	0.32	8.21	0.02	-21	-13	86	212	-182	-46	100008.01	4.00	0	0	0	0
Sporadic-1	54346	1.17	0.35	8.20	0.02	-18	-3	86	214	-178	-44	100005.56	4.02	0	0	0	0
Sporadic-1	55374	1.15	0.30	8.20	0.02	-21	-9	88	212	-184	-48	100005.72	4.05	0	0	0	0
Sporadic-1	56401	1.10	0.34	8.20	0.02	-21	11	85	208	-180	-50	100006.29	4.07	0	0	0	0
Sporadic-1	57432	0.89	0.33	8.19	0.04	-22	-20	83	217	-179	-47	100008.83	4.08	0	0	0	0
Sporadic-1	58460	1.36	0.29	8.21	0.04	-22	-31	86	211	-175	-45	100003.21	4.10	0	0	0	0
Sporadic-1	59487	0.98	0.34	8.20	0.02	-19	-11	88	222	-174	-44	100007.72	4.12	0	0	0	0
Sporadic-1	60515	0.97	0.32	8.21	0.00	-22	5	87	221	-181	-43	100007.82	4.14	0	0	0	0
Sporadic-1	61542	1.15	0.30	8.20	0.01	-21	-16	85	216	-178	-46	100005.77	4.16	0	0	0	0
Sporadic-1	62570	1.20	0.31	8.20	0.01	-20	-1	87	211	-183	-51	100005.13	4.18	0	0	0	0
Sporadic-1	63603	1.73	0.33	8.21	0.04	-21	-54	93	212	-178	-50	99998.80	4.20	0	0	0	0
Sporadic-1	64640	1.58	0.30	8.21	0.02	-19	-16	90	208	-180	-44	100000.63	4.21	0	0	0	0
Sporadic-1	132	1.19	0.27	8.21	0.05	-20	-12	85	216	-182	-46	100005.22	4.22	0	0	0	0
Sporadic-1	1159	1.48	0.30	8.20	0.04	-20	-13	85	212	-180	-50	100001.80	4.25	0	0	0	0
Sporadic-1	2186	1.37	0.37	8.20	0.01	-20	0	88	214	-180	-46	100003.08	4.28	0	0	0	0
Sporadic-1	3214	1.35	0.30	8.19	0.00	-23	-13	86	223	-181	-47	100003.33	4.29	0	0	0	0
Sporadic-1	4244	14.64	1.63	16.00	1.34	-6	-2642	-659	349	-209	-127	99845.46	4.31	1	0	0	0
Sporadic-1	5271	60.67	0.07	1.21	0.26	-645	-5994	275	266	-204	138	99300.44	4.22	1	0	0	0
Sporadic-1	6299	96.71	0.03	0.76	0.33	-253	-4644	51	310	-172	-170	98875.28	4.15	1	0	0	0
Sporadic-1	7327	122.33	0.04	0.60	0.12	-1375	-3453	-247	415	-159	159	98573.89	4.09	1	0	0	0
Sporadic-1	8354	137.52	0.47	0.36	0.36	-326	-1620	1196	86	-86	128	98395.69	4.04	1	0	0	0
Sporadic-1	9382	142.14	0.03	0.28	0.46	854	-2808	490	87	45	-121	98341.55	4.01	1	0	0	0
Sporadic-1	10407	135.86	0.02	0.29	0.08	237	-2395	-581	406	186	-176	98415.19	4.00	1	0	0	0
Sporadic-1	11436	121.24	0.20	0.66	0.05	-924	-3107	-579	464	246	36	98586.78	3.98	1	0	0	0
Sporadic-1	12464	98.38	0.75	0.14	1.34	-4893	-2805	6009	377	273	75	98855.60	3.95	1	0	0	0
Sporadic-1	13491	81.33	0.85	16.00	15.77	9955	-680	28729	402	-154	186	99056.50	3.82	1	1	1	0
Sporadic-1	14519	58.44	1.57	9.97	4.70	-4067	32767	9348	299	-221	109	99326.71	3.76	1	1	1	0
Sporadic-1	15550	51.67	1.13	6.43	1.54	7217	18836	-12055	410	-254	-42	99406.75	3.74	1	1	1	0
Sporadic-1	16578	47.23	1.78	7.62	2.76	3869	23311	-422	341	-259	-105	99459.34	3.74	1	1	1	0
Sporadic-1	17605	42.14	1.48	7.77	0.13	4116	16847	375	360	-238	84	99519.49	3.72	1	1	1	0
Sporadic-1	18633	37.32	2.15	8.70	0.79	-1359	14111	-4443	336	-246	-12	99576.64	3.68	1	1	1	0
Sporadic-1	19661	32.65	1.49	7.03	1.21	400	395	1403	249	-221	113	99631.96	3.65	1	1	1	0
Sporadic-1	20689	25.67	1.95	8.11	0.46	-2034	-10671	-399	378	-250	4	99714.60	3.67	1	1	1	0
Sporadic-1	21720	19.62	1.93	7.90	1.14	-3370	-8130	-3677	329	-231	-95	99786.40	3.68	1	1	1	0
Sporadic-1	22748	12.88	2.40	6.48	1.04	698	-7524	-712	140	-146	-122	99866.46	3.67	1	1	1	0
Sporadic-1	23776	6.55	1.33	7.95	0.09	-5213	-1344	-3348	323	-243	-53	99941.53	3.68	1	1	1	0
Sporadic-1	24806	0.22	1.14	7.20	0.42	-3728	-9406	3827	268	-246	-32	100016.78	3.66	1	1	1	1
Sporadic-1	25834	-0.76	1.07	0.84	6.03	398	3459	212	268	-114	224	100028.40	3.68	1	1	1	1
Sporadic-1	26862	-0.71	1.18	1.49	7.77	-24	-11	82	271	-115	235	100027.82	3.73	1	1	1	1
Sporadic-1	27892	-0.59	1.17	1.50	7.76	-22	-9	83	274	-114	228	100026.42	3.79	1	1	1	1
Sporadic-1	28920	-0.39	1.17	1.50	7.77	-24	-13	82	271	-117	235	100024.00	3.84	1	1	1	1
Sporadic-1	29947	-0.26	1.16	1.50	7.77	-22	-11	82	267	-115	231	100022.44	3.88	1	1	1	1
Sporadic-1	30976	-0.46	1.16	1.50	7.77	-23	-11	83	279	-121	229	100024.83	3.93	1	1	1	1
Sporadic-1	32003	-0.50	1.15	1.49	7.77	-24	-11	82	272	-118	236	100025.39	3.98	1	1	1	1
Sporadic-1	33031	-0.58	1.15	1.49	7.77	-23	-12	82	277	-117	227	100026.28	4.02	1	1	1	1
Sporadic-1	34061	-0.38	1.12	1.50	7.78	-26	-32	84	276	-112	234	100023.91	4.05	1	1	1	1
Sporadic-1	35089	-0.23	1.13	1.50	7.77	-25	-14	83	274	-114	234	100022.16	4.09	1	1	1	1
Sporadic-1	36116	-0.49	1.14	1.49	7.77	-23	-10	83	276	-118	234	100025.16	4.13	1	1	1	1
Sporadic-1	37144	-0.78	1.13	1.50	7.77	-24	-17	83	272	-122	232	100028.64	4.17	1	1	1	1
Sporadic-1	38172	-0.25	1.14	1.50	7.77	-23	-10	83	271	-123	233	100022.31	4.18	1	1	1	1
Sporadic-1	39199	-0.39	1.14	1.50	7.78	-24	-13	82	270	-112	228	100024.00	4.22	1	1	1	1
Sporadic-1	40225	-0.26	1.13	1.49	7.77	-23	-6	82	274	-112	234	100022.46	4.26	1	1	1	1
Sporadic-1	41252	-0.24	1.13	1.50	7.78	-24	-16	82	281	-121	233	100022.05	4.30	1	1	1	1
Sporadic-1	42280	-0.42	1.12	1.49	7.78	-23	-5	82	275	-121	243	100024.35	4.32	1	1	1	1
Sporadic-1	43308	-0.32	1.12	1.49	7.77	-22	-11	82	275	-119	237	100023.24	4.36	1	1	1	1
